RegionNombre,Semana,Atenciones_Urg
Región de Antofagasta,2024-07-16,2558
Región de Antofagasta,2024-07-23,2788
Región de Antofagasta,2024-07-30,2951
Región de Antofagasta,2024-08-06,3544
Región de Antofagasta,2024-08-13,3750
Región de Antofagasta,2024-08-20,3582
Región de Antofagasta,2024-08-27,3660
Región de Antofagasta,2024-09-03,3742
Región de Antofagasta,2024-09-10,3652
Región de Antofagasta,2024-09-17,3789
Región de Antofagasta,2024-09-24,3566
Región de Antofagasta,2024-10-01,3373
Región de Antofagasta,2024-10-08,3742
Región de Antofagasta,2024-10-15,4003
Región de Antofagasta,2024-10-22,4019
Región de Antofagasta,2024-10-29,3505
Región de Antofagasta,2024-11-05,3453
Región de Antofagasta,2024-11-12,3601
Región de Antofagasta,2024-11-19,3770
Región de Antofagasta,2024-11-26,3416
Región de Antofagasta,2024-12-03,3155
Región de Antofagasta,2024-12-10,2916
Región de Antofagasta,2024-12-17,2460
Región de Antofagasta,2024-12-24,2359
Región de Antofagasta,2024-12-31,1892
Región de Antofagasta,2025-01-07,1708
Región de Antofagasta,2025-01-14,1468
Región de Antofagasta,2025-01-21,1504
Región de Antofagasta,2025-01-28,1311
Región de Antofagasta,2025-02-04,1287
Región de Antofagasta,2025-02-11,1366
Región de Antofagasta,2025-02-18,1447
Región de Antofagasta,2025-02-25,1497
Región de Antofagasta,2025-03-04,1844
Región de Antofagasta,2025-03-11,2641
Región de Antofagasta,2025-03-18,3433
Región de Antofagasta,2025-03-25,3385
Región de Antofagasta,2025-04-01,3054
Región de Antofagasta,2025-04-08,3260
Región de Antofagasta,2025-04-15,3227
Región de Antofagasta,2025-04-22,3627
Región de Antofagasta,2025-04-29,3621
Región de Antofagasta,2025-05-06,3572
Región de Antofagasta,2025-05-13,3849
Región de Antofagasta,2025-05-20,4029
Región de Antofagasta,2025-05-27,3693
Región de Antofagasta,2025-06-03,3913
Región de Antofagasta,2025-06-10,3642
Región de Antofagasta,2025-06-17,3959
Región de Antofagasta,2025-06-24,3606
Región de Antofagasta,2025-07-01,3210
Región de Antofagasta,2025-07-08,2827
Región de Antofagasta,2025-07-15,2494
Región de Antofagasta,2025-07-22,2659
Región de Antofagasta,2025-07-29,2413
Región de Antofagasta,2025-08-05,2883
Región de Antofagasta,2025-08-12,3313
Región de Antofagasta,2025-08-19,3493
Región de Antofagasta,2025-08-26,3473
Región de Antofagasta,2025-09-02,3389
Región de Antofagasta,2025-09-09,3273
Región de Antofagasta,2025-09-16,3046
Región de Antofagasta,2025-09-23,3181
Región de Antofagasta,2025-09-30,3044
Región de Antofagasta,2025-10-07,3564
Región de Antofagasta,2025-10-14,3625
Región de Antofagasta,2025-10-21,3853
Región de Antofagasta,2025-10-28,3285
Región de Antofagasta,2025-11-04,3764
Región de Antofagasta,2025-11-11,4002
Región de Antofagasta,2025-11-18,3941
Región de Antofagasta,2025-11-25,3539
Región de Antofagasta,2025-12-02,3370
Región de Antofagasta,2025-12-09,2795
Región de Antofagasta,2025-12-16,2171
